Date,Time,Result,Phase
11-Apr-17,20:27:12,Red,A
11-Apr-17,20:27:13,Amber,C
11-Apr-17,20:27:13,Amber,D
11-Apr-17,20:27:13,RedAmber,E
11-Apr-17,20:27:13,RedAmber,F
11-Apr-17,20:27:13,RedAmber,G
11-Apr-17,20:27:13,RedAmber,H
11-Apr-17,20:27:13,RedAmber,I
11-Apr-17,20:27:14,Amber,C
11-Apr-17,20:27:14,Amber,D
11-Apr-17,20:27:14,RedAmber,E
11-Apr-17,20:27:14,RedAmber,F
11-Apr-17,20:27:14,RedAmber,G
11-Apr-17,20:27:14,RedAmber,H
11-Apr-17,20:27:14,RedAmber,I
11-Apr-17,20:27:15,Amber,C
11-Apr-17,20:27:15,Amber,D
11-Apr-17,20:27:15,RedAmber,E
11-Apr-17,20:27:15,RedAmber,F
11-Apr-17,20:27:15,RedAmber,G
11-Apr-17,20:27:15,RedAmber,H
11-Apr-17,20:27:15,RedAmber,I
11-Apr-17,20:27:16,Red,C
11-Apr-17,20:27:16,Amber,C
11-Apr-17,20:27:16,Red,D
11-Apr-17,20:27:16,Amber,D
11-Apr-17,20:27:16,RedAmber,E
11-Apr-17,20:27:16,RedAmber,F
11-Apr-17,20:27:16,RedAmber,G
11-Apr-17,20:27:16,RedAmber,H
11-Apr-17,20:27:16,RedAmber,I
11-Apr-17,20:27:17,Red,C
11-Apr-17,20:27:17,Red,D
11-Apr-17,20:27:17,RedAmber,E
11-Apr-17,20:27:17,RedAmber,F
11-Apr-17,20:27:17,RedAmber,G
11-Apr-17,20:27:17,RedAmber,H
11-Apr-17,20:27:17,RedAmber,I
11-Apr-17,20:27:18,Red,C
11-Apr-17,20:27:18,Red,D
11-Apr-17,20:27:18,RedAmber,E
11-Apr-17,20:27:18,RedAmber,F
11-Apr-17,20:27:18,RedAmber,G
11-Apr-17,20:27:18,RedAmber,H
11-Apr-17,20:27:18,RedAmber,I
11-Apr-17,20:27:19,Red,C
11-Apr-17,20:27:19,Red,D
11-Apr-17,20:27:19,RedAmber,E
11-Apr-17,20:27:19,RedAmber,F
11-Apr-17,20:27:19,RedAmber,G
11-Apr-17,20:27:19,RedAmber,H
11-Apr-17,20:27:19,RedAmber,I
11-Apr-17,20:27:20,Red,C
11-Apr-17,20:27:20,Red,D
11-Apr-17,20:27:20,RedAmber,E
11-Apr-17,20:27:20,RedAmber,F
11-Apr-17,20:27:20,RedAmber,G
11-Apr-17,20:27:20,RedAmber,H
11-Apr-17,20:27:20,RedAmber,I
11-Apr-17,20:27:21,Red,C
11-Apr-17,20:27:21,Red,D
11-Apr-17,20:27:21,RedAmber,E
11-Apr-17,20:27:21,RedAmber,F
11-Apr-17,20:27:21,RedAmber,G
11-Apr-17,20:27:21,RedAmber,H
11-Apr-17,20:27:21,RedAmber,I
11-Apr-17,20:27:22,Red,C
11-Apr-17,20:27:22,Red,D
11-Apr-17,20:27:22,RedAmber,E
11-Apr-17,20:27:22,RedAmber,F
11-Apr-17,20:27:22,RedAmber,G
11-Apr-17,20:27:22,RedAmber,H
11-Apr-17,20:27:22,RedAmber,I
11-Apr-17,20:27:23,Red,C
11-Apr-17,20:27:23,Red,D
11-Apr-17,20:27:23,RedAmber,E
11-Apr-17,20:27:23,RedAmber,F
11-Apr-17,20:27:23,RedAmber,G
11-Apr-17,20:27:23,RedAmber,H
11-Apr-17,20:27:23,RedAmber,I
11-Apr-17,20:27:24,Red,C
11-Apr-17,20:27:24,Red,D
11-Apr-17,20:27:24,RedAmber,E
11-Apr-17,20:27:24,RedAmber,F
11-Apr-17,20:27:24,RedAmber,G
11-Apr-17,20:27:24,RedAmber,H
11-Apr-17,20:27:24,RedAmber,I
11-Apr-17,20:27:25,Red,C
11-Apr-17,20:27:25,Red,D
11-Apr-17,20:27:25,RedAmber,E
11-Apr-17,20:27:25,RedAmber,F
11-Apr-17,20:27:25,RedAmber,G
11-Apr-17,20:27:25,RedAmber,H
11-Apr-17,20:27:25,RedAmber,I
11-Apr-17,20:27:26,Red,C
11-Apr-17,20:27:26,Red,D
11-Apr-17,20:27:26,RedAmber,E
11-Apr-17,20:27:26,RedAmber,F
11-Apr-17,20:27:26,RedAmber,G
11-Apr-17,20:27:26,RedAmber,H
11-Apr-17,20:27:26,RedAmber,I
